Type,Voltage,Current,Power,Reactive P,Neigh Voltage,Neight Current,Neigh Power,Neigh Reactive P,Sample
Open,13669.46314,0.013658637,577.5647799,-0.304013022,13660.24426,2.059956306,88352.95836,47485.17493,1
Open,13688.0999,0.013677313,578.962174,-0.310248298,13678.96107,2.041985884,87680.86038,47131.3163,2
Open,13706.8282,0.013696083,580.3658861,-0.316523707,13697.76973,2.024009179,87001.81565,46775.85255,3
Open,13725.75935,0.013715058,581.7754283,-0.322836343,13716.78144,2.006061167,86320.813,46420.34952,4
Open,13744.6715,0.013734018,583.1909021,-0.329184543,13735.77437,1.987926704,85635.34386,46061.15389,5
Open,13763.53327,0.013752931,584.6126593,-0.335565261,13754.71713,1.969754014,84949.01494,45697.8738,6
Open,13782.68036,0.013772131,586.0398504,-0.341973046,13773.9454,1.951540653,84256.76227,45333.6435,7
Open,13801.67712,0.013791184,587.4743128,-0.348406357,13793.0237,1.933397165,83564.51927,44969.55124,8
Open,13820.77292,0.013810338,588.9150276,-0.354860363,13812.20132,1.915198789,82866.59973,44600.58232,9
Open,13840.13069,0.013829758,590.3611431,-0.361331225,13831.64103,1.896773426,82163.67041,44228.55062,10
Open,13859.31806,0.01384901,591.8144639,-0.367816615,13850.91067,1.87844626,81459.11976,43856.69356,11
Open,13878.73826,0.013868498,593.2731644,-0.374311316,13870.41328,1.859922576,80747.35739,43481.75845,12
Open,13898.01283,0.013887843,594.738818,-0.380812652,13889.77058,1.8413755,80035.86164,43105.32088,13
Open,13917.62494,0.013907528,596.2103673,-0.387314151,13909.4656,1.822987124,79321.73786,42724.33289,14
Open,13937.15068,0.01392713,597.6888006,-0.393813544,13929.07454,1.804405439,78603.66017,42341.0499,15
Open,13956.7273,0.013946785,599.1735842,-0.400305928,13948.73464,1.785753903,77880.05096,41958.71143,16
Open,13976.2319,0.013966372,600.666099,-0.406786968,13968.32309,1.767024694,77150.57729,41570.4594,17
Open,13996.00138,0.013986225,602.1639853,-0.413251659,13988.17654,1.74840119,76421.30551,41180.86755,18
Open,14015.87908,0.01400619,603.6679678,-0.419696901,14008.13833,1.729584986,75688.51571,40789.57002,19
Open,14035.58579,0.014025986,605.1799948,-0.426116805,14027.92963,1.710645092,74949.09317,40393.97125,20
Open,14055.67168,0.014046164,606.6972797,-0.432506834,14048.10014,1.691765309,74208.45863,39995.47099,21
Open,14075.54711,0.014066135,608.2223969,-0.438863518,14068.06061,1.672809551,73462.74929,39599.95544,22
Open,14095.60484,0.01408629,609.7537193,-0.44518081,14088.2036,1.653817476,72713.80231,39196.55504,23
Open,14115.71606,0.014106501,611.2921423,-0.451454832,14108.40035,1.634837045,71962.16733,38794.72299,24
Open,14136.01612,0.014126903,612.8371324,-0.457680255,14128.78616,1.615660895,71201.87455,38386.6772,25
Open,14156.13184,0.014147123,614.3896382,-0.463853928,14148.98797,1.596651112,70446.46089,37978.08313,26
Open,14176.41489,0.014167513,615.9489888,-0.46996936,14169.35737,1.577289884,69677.91228,37565.34062,27
Open,14196.88946,0.014188096,617.5143858,-0.476023527,14189.91844,1.558012259,68911.5884,37151.30211,28
Open,14217.26449,0.014208582,619.0879982,-0.482010456,14210.3804,1.538767259,68136.34178,36734.71407,29
Open,14237.79179,0.014229222,620.6678796,-0.487926614,14230.99481,1.519347114,67360.27472,36316.04039,30
Open,14258.43096,0.014249977,622.2546148,-0.493767987,14251.72131,1.499905288,66581.17233,35893.72244,31
Open,14279.17453,0.014270837,623.849163,-0.499528473,14272.55256,1.480475991,65795.31676,35465.92942,32
Open,14299.96467,0.014291746,625.450128,-0.505205766,14293.43057,1.460976231,65009.77343,35039.86673,33
Open,14320.71914,0.014312621,627.0587609,-0.510795129,14314.27323,1.441246499,64213.92883,34608.93334,34
Open,14341.62207,0.014333646,628.6745609,-0.516291661,14335.26464,1.421538146,63415.94219,34174.76728,35
Open,14362.41716,0.014354565,630.2984402,-0.521691984,14356.14858,1.401975452,62617.43353,33741.22863,36
Open,14383.43827,0.014375711,631.9289272,-0.526992533,14377.25873,1.382208042,61811.50413,33302.55033,37
Open,14404.54294,0.014396943,633.5666129,-0.532189512,14398.4527,1.362274199,61000.64145,32860.86368,38
Open,14425.87519,0.014418403,635.2116314,-0.537279124,14419.87449,1.34243143,60185.856,32416.77503,39
Open,14447.05254,0.014439709,636.8643059,-0.542258705,14441.14173,1.322431888,59368.39566,31967.91878,40
Open,14468.37803,0.014461165,638.5245363,-0.547124275,14462.55738,1.302399608,58543.6655,31519.65777,41
Open,14489.7901,0.014482708,640.1924267,-0.551873199,14484.0599,1.282469484,57722.58592,31066.69604,42
Open,14511.0828,0.014504134,641.8681812,-0.556502358,14505.44344,1.262412695,56892.06842,30611.11368,43
Open,14532.78887,0.014525973,643.5507271,-0.561009444,14527.24048,1.242284745,56054.30835,30154.36908,44
Open,14554.23746,0.014547555,645.2417099,-0.565392351,14548.78043,1.222029279,55216.21602,29690.59532,45
Open,14575.90042,0.014569353,646.9402421,-0.569648054,14570.53503,1.201606155,54369.62653,29224.74565,46
Open,14597.65155,0.014591239,648.6464421,-0.57377471,14592.37809,1.181322971,53520.47876,28756.58433,47
Open,14619.4974,0.014613221,650.3600548,-0.577770945,14614.31613,1.160836883,52667.31575,28285.26397,48
Open,14641.41479,0.014635274,652.081684,-0.581634607,14636.32603,1.140280576,51809.37636,27811.46185,49
Open,14663.53875,0.014657535,653.8112306,-0.585364169,14658.54278,1.119816088,50945.05377,27336.24621,50
Closed,13551.94548,13.56974858,489830.4477,-321561.7118,13542.73383,2.042391134,84125.6481,45427.94288,1
Closed,13581.9238,13.56543053,486861.2172,-326466.2664,13572.78375,2.026295522,83611.99948,45174.42958,2
Closed,13611.7597,13.56244079,483872.3831,-331393.8483,13602.69176,2.010124998,83091.03277,44916.16866,3
Closed,13641.98712,13.56049733,480858.4403,-336378.1409,13632.99155,1.993971269,82566.98256,44657.89843,4
Closed,13672.18363,13.56013347,477807.4004,-341385.4726,13663.26076,1.977598303,82037.37862,44394.64633,5
Closed,13702.61915,13.5609065,474733.0154,-346443.8247,13693.76936,1.961201122,81504.72759,44128.07086,6
Closed,13733.20761,13.56315413,471636.4471,-351529.3587,13724.43122,1.944710287,80965.36435,43858.23289,7
Closed,13763.98133,13.56682065,468506.9833,-356659.9784,13755.27867,1.928286871,80424.95133,43589.30271,8
Closed,13794.88677,13.57191583,465349.8053,-361830.5296,13786.25811,1.911748112,79878.95976,43313.93416,9
Closed,13825.9636,13.57810507,462169.1727,-367031.4569,13817.40947,1.894982364,79324.81711,43034.09435,10
Closed,13857.02497,13.58586614,458950.2941,-372280.5726,13848.54572,1.878286121,78768.28024,42753.86755,11
Closed,13888.38703,13.59508293,455709.8121,-377568.8239,13879.98298,1.86137342,78202.7443,42469.64476,12
Closed,13919.96409,13.60580399,452440.5031,-382910.4155,13911.63553,1.844440166,77635.83534,42184.68864,13
Closed,13951.64998,13.61795015,449140.3135,-388279.933,13943.39728,1.827593073,77066.0027,41892.11036,14
Closed,13983.37933,13.63165924,445809.0993,-393696.5055,13975.2029,1.810537136,76490.27309,41596.62532,15
Closed,14015.24442,13.64668296,442449.1166,-399152.7394,14007.14478,1.793401333,75906.91275,41301.31812,16
Closed,14047.54799,13.6632153,439058.0731,-404652.6189,14039.52525,1.776170919,75317.38477,41001.25208,17
Closed,14079.78063,13.68147942,435633.3711,-410190.7224,14071.83533,1.758993338,74726.05439,40696.35475,18
Closed,14112.27473,13.70106776,432175.546,-415780.0165,14104.40729,1.741629293,74128.3333,40389.56483,19
Closed,14144.73188,13.72230676,428693.0255,-421415.5831,14136.94268,1.724091079,73523.62247,40077.23365,20
Closed,14177.56576,13.74499456,425176.1873,-427095.0043,14169.85523,1.706601071,72915.08715,39760.71433,21
Closed,14210.62754,13.76945541,421620.434,-432821.2037,14202.99593,1.689011958,72300.71793,39447.72298,22
Closed,14243.70017,13.79546827,418042.9039,-438574.7926,14236.14791,1.671336515,71681.33471,39124.05521,23
Closed,14276.99633,13.82300136,414430.1604,-444389.9852,14269.52392,1.653670035,71057.02008,38801.67532,24
Closed,14310.32956,13.8521528,410777.7025,-450251.3273,14302.93738,1.63574456,70422.64838,38470.27463,25
Closed,14343.99123,13.88313458,407090.5582,-456165.6435,14336.67957,1.61798104,69791.98319,38139.21548,26
Closed,14377.87709,13.91554554,403381.09,-462127.6172,14370.64645,1.599834379,69145.89177,37802.5312,27
Closed,14411.77793,13.94981151,399626.4885,-468122.7321,14404.62871,1.581736789,68499.69182,37462.14523,28
Closed,14445.96099,13.98542443,395838.3954,-474171.8783,14438.89363,1.563660706,67842.83975,37119.28378,29
Closed,14480.17691,14.02300881,392021.2017,-480276.9577,14473.19186,1.545356892,67183.40209,36771.92584,30
Closed,14514.8277,14.06227115,388169.1043,-486434.0659,14507.92529,1.527016077,66518.79902,36420.56636,31
Closed,14549.45285,14.10311059,384276.4614,-492628.6376,14542.63354,1.508640859,65845.60307,36061.0635,32
Closed,14584.38467,14.145755,380349.4661,-498874.6848,14577.64883,1.490176059,65170.71559,35702.90758,33
Closed,14619.39506,14.19003598,376386.7489,-505187.4448,14612.74327,1.471459317,64482.59089,35338.62278,34
Closed,14654.6693,14.23623193,372390.6231,-511529.5358,14648.10185,1.452710748,63791.1978,34969.29261,35
Closed,14689.90756,14.28409343,368345.6366,-517943.6256,14683.42506,1.434079812,63097.31915,34599.10294,36
Closed,14725.68983,14.33365322,364276.0843,-524398.8172,14719.29258,1.415229709,62393.24721,34223.15518,37
Closed,14761.39211,14.38490862,360150.6969,-530913.1741,14755.08064,1.396169001,61681.53177,33841.64913,38
Closed,14797.45231,14.43813757,356011.9623,-537480.5011,14791.22697,1.377142203,60964.78945,33455.79328,39
Closed,14833.55416,14.49307816,351815.6447,-544095.8248,14827.41545,1.357950271,60242.20542,33064.23294,40
Closed,14869.87651,14.54965732,347580.7272,-550774.9004,14863.82506,1.338692846,59509.50969,32671.5684,41
Closed,14906.528,14.60818901,343315.8187,-557497.5614,14900.56402,1.319490938,58779.67345,32272.68131,42
Closed,14943.36874,14.66827035,338998.2631,-564289.8159,14937.4929,1.300154527,58036.87384,31870.49332,43
Closed,14980.33107,14.73034658,334649.7736,-571131.9836,14974.5437,1.280679685,57284.36921,31463.69381,44
Closed,15017.35217,14.7943047,330259.7992,-578031.5282,15011.65389,1.261059872,56528.758,31048.80122,45
Closed,15054.81467,14.85990333,325823.8612,-584988.0909,15049.20581,1.241225947,55762.45788,30630.32614,46
Closed,15092.28277,14.9275036,321344.6332,-591997.0141,15086.7639,1.221487978,54991.0429,30206.80194,47
Closed,15130.06333,14.99687487,316824.047,-599085.6099,15124.63487,1.201510181,54212.80532,29778.60088,48
Closed,15168.15269,15.06788562,312261.2604,-606218.8406,15162.81518,1.181441964,53426.54165,29346.63958,49
Closed,15206.27319,15.1408775,307650.1598,-613423.0667,15201.02718,1.161401505,52631.76026,28910.1075,50
